n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,0.4,0.6,0.4946725539,,
144,0.4,0.6,0.5711986643,,
144,0.4,0.6,0.638619521,,
144,0.4,0.6,0.6995726346,,
144,0.4,0.6,0.8077968978,,
144,0.4,0.6,0.8567979964,,
144,0.4,0.6,0.9031443878,,
144,0.4,0.6,0.9472258251,,
144,0.4,0.6,0.9893451078,,
144,0.4,0.6,1.029743036,,
144,0.4,0.6,1.068614851,,
144,0.4,0.6,1.142397329,,
144,0.4,0.6,1.177556213,,
144,0.4,0.6,1.211695347,183.8010304,
144,0.4,0.6,1.244898627,253.524581,19.51801167
144,0.4,0.6,1.277239042,277.2629195,
144,0.4,0.6,1.308780558,250.4816542,23.9775458
144,0.4,0.6,1.339579608,245.945689,40.70867677
144,0.4,0.6,1.399145269,160.8414334,51.30514304
144,0.4,0.6,1.427996661,204.7715152,41.79552896
144,0.4,0.6,1.456276568,188.3333218,21.43889226
144,0.4,0.6,1.484017662,130.5067728,22.29962487
144,0.375,0.625,0.2855993321,,
144,0.375,0.625,0.4038984489,,
144,0.375,0.625,0.4946725539,,
144,0.375,0.625,0.5711986643,,
144,0.375,0.625,0.638619521,,
144,0.375,0.625,0.6995726346,,
144,0.375,0.625,0.8077968978,,
144,0.375,0.625,0.8567979964,,
144,0.375,0.625,0.9031443878,,
144,0.375,0.625,0.9472258251,,
144,0.375,0.625,0.9893451078,247.0404155,
144,0.375,0.625,1.029743036,,
144,0.375,0.625,1.068614851,,
144,0.375,0.625,1.142397329,139.980317,
144,0.375,0.625,1.177556213,,
144,0.375,0.625,1.211695347,,
144,0.375,0.625,1.244898627,255.2387855,16.46409198
144,0.375,0.625,1.277239042,271.962073,4.138184187
144,0.375,0.625,1.308780558,250.6250155,22.08694612
144,0.375,0.625,1.339579608,255.3979954,9.837909775
144,0.375,0.625,1.399145269,151.5114745,29.63467719
144,0.375,0.625,1.427996661,171.5131566,31.30039232
144,0.375,0.625,1.456276568,197.2350188,20.58752641
144,0.375,0.625,1.484017662,145.5274535,11.81696937
144,0.35,0.65,0.2855993321,,
144,0.35,0.65,0.4038984489,,
144,0.35,0.65,0.4946725539,,
144,0.35,0.65,0.5711986643,,
144,0.35,0.65,0.638619521,,
144,0.35,0.65,0.6995726346,,
144,0.35,0.65,0.8077968978,,
144,0.35,0.65,0.8567979964,,
144,0.35,0.65,0.9031443878,,
144,0.35,0.65,0.9472258251,,
