run_index,run_id,n_chains,kappa,pi,seed,shell_index,shell_n2,degeneracy,q,q_units,S_AA,S_BB,S_AB,S_CC,S_psi_psi_over_2,S_psi_psi_over_2_early,S_psi_psi_over_2_early_to_final_change,S_psi_psi_over_2_final_window_slope_per_step,diagnostic_AA_minus_AB
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,23,27,32,1.1778655986182653,nm^-1,2.474781697919497,2.6333551716881716,-2.3630742351430909,9.8342853398938495,4.9171426699469247,4.9194404193981534,-0.0022977494512286256,-4.5504811325053469e-05,4.8378559330625883
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,24,29,72,1.2207109902117697,nm^-1,2.1407442425576462,2.1905913316857046,-1.9847465614893927,8.300828697222137,4.1504143486110685,4.4663720080253668,-0.31595765941429832,-7.2625401223608606e-06,4.1254908040470388
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,25,30,48,1.241579356397132,nm^-1,1.5172852001415993,1.4192243707164149,-1.3087132388217342,5.5539360485014839,2.776968024250742,3.0521168954935267,-0.27514887124278475,-4.5049709359185861e-05,2.8259984389633335
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,26,32,12,1.2822976454189374,nm^-1,1.413594843280144,1.8460511124928352,-1.5360294402417807,6.3317048362565416,3.1658524181282708,4.8102969007150946,-1.6444444825868239,0.00015952530689669893,2.9496242835219246
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,27,33,48,1.3021794146947141,nm^-1,2.3091735018268369,2.1321520119184667,-2.0749587731027939,8.5912430599508909,4.2956215299754454,3.3159490200532376,0.97967250992220789,0.00011572511201176398,4.3841322749296303
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,28,34,48,1.3217621588857753,nm^-1,1.6351533034335133,1.6427159741670949,-1.4848404993865594,6.2475502763737252,3.1237751381868626,3.3782457846170075,-0.25447064643014494,-5.9236065231552039e-05,3.1199938028200727
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,29,35,48,1.3410589775509885,nm^-1,1.8413202588686501,1.646409746835801,-1.6012353286340701,6.6902006629725888,3.3451003314862944,3.8451971667173352,-0.50009683523104087,-1.0927389974234301e-06,3.4425555875027203
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,30,36,30,1.3600820408629104,nm^-1,1.2377923306057101,1.2995049547681927,-1.1293925562663143,4.796082397906531,2.3980411989532655,2.9147513107376208,-0.51671011178435533,0.00015455330557444995,2.3671848868720247
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,31,37,24,1.3788426793820738,nm^-1,1.0671634587758547,1.0760940955282292,-0.90368738698846884,3.9506323282810221,1.975316164140511,1.8263181479112074,0.14899801622930364,4.3071387441378874e-05,1.9708508457643235
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,32,38,72,1.3973514629803248,nm^-1,1.1315525861727025,1.1416380349849111,-1.0028313278067111,4.2788532767710352,2.1394266383855176,2.7356061181237221,-0.59617947973820451,5.7812463036027569e-06,2.1343839139794136
