N,kappa,pi,seed,contrast,SAA,k_star_c,E,Rg
160,0.0,0.99,4,0.0709410353294753,0.18454432030847356,1.1759488769555806,-88091.98876953125,5.14660827910029
160,0.0,0.9,1,0.06632438642658492,0.19073207113696453,1.1759488769555806,-88577.97259521484,5.069465227905874
160,0.0,0.9,2,0.07180082922330314,0.24895224781057243,1.3568640887949006,-88430.8173828125,5.049826876584801
160,0.0,0.9,3,0.06511932141672697,0.23904016201906533,1.3568640887949006,-88640.07131958008,5.029335530911161
160,0.0,0.9,4,0.06862102873700578,0.18503047845352782,1.1759488769555806,-87568.4518737793,5.1496643355718295
160,0.3,0.99,1,0.10313434188705012,0.24751331879422364,0.6332032414376203,-90574.13021850586,5.048837453189869
160,0.3,0.99,2,0.10157612637882166,0.2482597700473807,0.9950336651162605,-89998.78463745117,5.029778289031926
160,0.3,0.99,3,0.09614037784613089,0.26519721836149585,0.8141184532769403,-90761.12902832033,5.034415809196533
160,0.3,0.99,4,0.08980187827964925,0.2185672099478247,0.9950336651162605,-90288.85861206056,5.138587747119082
160,0.3,0.9,1,0.0743049599990701,0.20579442724211025,1.1759488769555806,-89262.1106262207,5.08382843158653
160,0.3,0.9,2,0.08357202822102003,0.21770337846691512,1.1759488769555806,-88871.03405761719,5.054246624199857
160,0.3,0.9,3,0.08047340519576433,0.2318146452643956,1.1759488769555806,-89462.41320800781,5.070780067273885
160,0.3,0.9,4,0.08646894315131592,0.20233456092168217,1.1759488769555806,-88904.04901123047,5.166004013625267
160,0.6,0.99,1,0.2823178896062572,0.331792865744989,0.6332032414376203,-96639.6120300293,5.021356534585117
160,0.6,0.99,2,0.24096784259647075,0.33663011352248595,0.6332032414376203,-95468.40682983398,5.017606816122945
160,0.6,0.99,3,0.23287394471028713,0.33306445154114855,0.6332032414376203,-97024.54614257812,5.014079678112132
160,0.6,0.99,4,0.2021462135770387,0.2731256075381162,0.6332032414376203,-95862.02655029295,5.12933611665764
160,0.6,0.9,1,0.14705799218172874,0.22020842374700203,0.9950336651162605,-93251.25900268556,5.0884679157964845
160,0.6,0.9,2,0.12418481659938978,0.2579424135144198,0.8141184532769403,-92257.12927246094,5.0653272029166025
160,0.6,0.9,3,0.12148330815751618,0.24248188369074225,0.8141184532769403,-93444.3682861328,5.0390533381939635
160,0.6,0.9,4,0.11646085487270759,0.21558934793453594,1.1759488769555806,-92505.00942993164,5.158644307485994
160,0.9,0.99,1,0.7067229676821167,0.5207241992411766,0.6332032414376203,-106260.82022094728,5.065844640585829
160,0.9,0.99,2,0.6609257266178555,0.538878274592875,0.6332032414376203,-105366.95404052734,4.999745504024485
160,0.9,0.99,3,0.5292262503490148,0.4499204371109224,0.6332032414376203,-105842.89907836914,4.970094491573011
160,0.9,0.99,4,0.4544368040460385,0.3748928847544443,0.6332032414376203,-104934.5775756836,5.125897936988459
160,0.9,0.9,1,0.26070778912259585,0.2934810610608554,0.6332032414376203,-99112.4448852539,5.120504615821422
160,0.9,0.9,2,0.2596314502047351,0.28722811002696647,0.8141184532769403,-98546.87890625,5.066523948685987
160,0.9,0.9,3,0.25729217978980584,0.32084516903736154,0.8141184532769403,-98657.95626831056,5.048124843210458
160,0.9,0.9,4,0.24462139650264073,0.25789254628436736,0.8141184532769403,-98196.51571655272,5.217215148300531
160,1.0,0.99,1,0.7254234993079298,0.5203856383040867,0.6332032414376203,-110639.8507385254,5.091074804531305
160,1.0,0.99,2,0.7562805106379874,0.5820534455836486,0.6332032414376203,-110532.07147216795,4.914767365553034
